obsid,object,instrument,resp_file,obs_date,obs_time,time_start,source_percent,spectral_file,bg_file,background_count_rate,bg_source_ratio,exposure_time,net_source_count
40124-01-40-01,XTE_J1859+226,PCA,xp40124014001.rsp,1999-11-04T20:56:16,20:56:16,184366518.37843,97.06760960742207,xp40124014001_s2.pha,xp40124014001_b2.pha,81.51857953426143,34.10187137875857,1152.0,3014667.596376531
40124-01-41-00,XTE_J1859+226,PCA,xp40124014100.rsp,1999-11-05T00:13:36,00:13:36,184378355.37843,96.995663442975,xp40124014100_s2.pha,xp40124014100_b2.pha,81.82685964558833,33.28521891669266,2911.99999999975,7454636.184712067
40124-01-42-00,XTE_J1859+226,PCA,xp40124014200.rsp,1999-11-06T09:49:36,09:49:36,184499318.37843,96.3499620862074,xp40124014200_s2.pha,xp40124014200_b2.pha,66.5437612710092,27.396975692259083,5087.99999999947,8598772.34265314
40124-01-49-01,XTE_J1859+226,PCA,xp40124014901.rsp,1999-11-15T06:06:40,06:06:40,185263539.37843,94.43948552305555,xp40124014901_s2.pha,xp40124014901_b2.pha,175.36050173924008,17.98394742332386,1919.99999999982,5381669.836660691
40124-01-61-00,XTE_J1859+226,PCA,xp40124016100.rsp,2000-01-03T00:52:16,00:52:16,189478276.37843,88.43683730114628,xp40124016100_s2.pha,xp40124016100_b2.pha,132.81591163250317,8.648152984123733,3231.99999999951,2853792.973603815
40401-01-02-00,XTE_J1550-564,PCA,xp40401010200.rsp,1999-01-02T20:17:36,20:17:36,157925795.37843,99.38814813528775,xp40401010200_s2.pha,xp40401010200_b2.pha,84.8641277453219,163.4382532233172,3807.99999999955,52170805.40154585
40401-01-48-00,XTE_J1550-564,PCA,xp40401014800.rsp,1999-03-02T01:58:08,01:58:08,162957431.37843,99.26048596074779,xp40401014800_s2.pha,xp40401014800_b2.pha,142.14503128499643,135.22393719681085,5903.9999999989,111804760.73529354
40401-01-50-00,XTE_J1550-564,PCA,xp40401015000.rsp,1999-03-04T19:14:40,19:14:40,163192419.37843,99.14952495457146,xp40401015000_s2.pha,xp40401015000_b2.pha,180.44201621953576,117.58134531697242,3103.99999999954,64736188.981654644
40401-01-51-00,XTE_J1550-564,PCA,xp40401015100.rsp,1999-03-05T12:10:56,12:10:56,163253395.37843,99.29784145084342,xp40401015100_s2.pha,xp40401015100_b2.pha,114.71462617850746,142.41797685169126,1487.99999999998,23968697.636246383
40401-01-51-01,XTE_J1550-564,PCA,xp40401015101.rsp,1999-03-11T02:12:16,02:12:16,163735927.37843,99.39481574624175,xp40401015101_s2.pha,xp40401015101_b2.pha,81.56779240218124,165.23893240610613,1120.0,14912844.072509557
40401-01-53-00,XTE_J1550-564,PCA,xp40401015300.rsp,1999-03-08T08:29:52,08:29:52,163499334.37843,99.37597645254682,xp40401015300_s2.pha,xp40401015300_b2.pha,86.8320665652539,160.25036300012835,2255.9999999999,31000160.857828796
40401-01-55-00,XTE_J1550-564,PCA,xp40401015500.rsp,1999-03-10T23:27:28,23:27:28,163726209.37843,99.37708540611493,xp40401015500_s2.pha,xp40401015500_b2.pha,111.38215114191367,160.5356512460358,2447.99999999976,43226886.49400462
40401-01-56-00,XTE_J1550-564,PCA,xp40401015600.rsp,1999-03-12T09:36:32,09:36:32,163848934.37843,99.28201511036326,xp40401015600_s2.pha,xp40401015600_b2.pha,89.79009233847918,139.2786971472271,544.0,6705489.189767867
40401-01-56-01,XTE_J1550-564,PCA,xp40401015601.rsp,1999-03-12T11:18:24,11:18:24,163855043.37843,99.2413588042473,xp40401015601_s2.pha,xp40401015601_b2.pha,93.94520555669442,131.8146187682089,192.0,2341528.5205331147
40401-01-57-00,XTE_J1550-564,PCA,xp40401015700.rsp,1999-03-13T16:38:40,16:38:40,163960659.37843,98.77962412981168,xp40401015700_s2.pha,xp40401015700_b2.pha,64.46087575786163,81.94196758787805,2752.0,14181411.669914365
40401-01-58-00,XTE_J1550-564,PCA,xp40401015800.rsp,1999-03-16T05:24:32,05:24:32,164179417.37843,99.20313801991936,xp40401015800_s2.pha,xp40401015800_b2.pha,114.4516200061651,125.49224646140246,1008.0,14246958.767033786
40401-01-58-01,XTE_J1550-564,PCA,xp40401015801.rsp,1999-03-17T02:13:04,02:13:04,164254323.37843,99.15708902729608,xp40401015801_s2.pha,xp40401015801_b2.pha,81.84047429550763,118.63649096798153,3455.99999999963,32989544.320834756
40401-01-59-01,XTE_J1550-564,PCA,xp40401015901.rsp,1999-03-18T02:11:44,02:11:44,164340643.37843,98.90527798382547,xp40401015901_s2.pha,xp40401015901_b2.pha,79.69977056808906,91.34739095633289,991.999999999998,7063998.827596456
40401-01-61-00,XTE_J1550-564,PCA,xp40401016100.rsp,1999-03-21T11:55:28,11:55:28,164634871.37843,98.48792892329298,xp40401016100_s2.pha,xp40401016100_b2.pha,115.96922962705824,66.13445726227303,1088.0,8092134.478165761
40401-01-61-01,XTE_J1550-564,PCA,xp40401016101.rsp,1999-03-21T02:07:44,02:07:44,164599603.37843,98.60433100668033,xp40401016101_s2.pha,xp40401016101_b2.pha,54.62116218488671,71.65022686514281,799.999999999999,3043501.0702520907
50134-01-02-00,XTE_J1550-564,PCA,xp50134010200.rsp,2000-05-10T16:40:32,16:40:32,200594371.37843,97.29904625364635,xp50134010200_s2.pha,xp50134010200_b2.pha,54.50733659117784,37.02395871643565,927.999999999998,1771610.191643387
50134-01-04-00,XTE_J1550-564,PCA,xp50134010400.rsp,2000-05-12T09:35:28,09:35:28,200741667.37843,95.85320170470021,xp50134010400_s2.pha,xp50134010400_b2.pha,110.71285003286668,24.114990139102154,1392.0,3408191.7127542496
50134-01-05-00,XTE_J1550-564,PCA,xp50134010500.rsp,2000-05-14T10:50:56,10:50:56,200918995.37843,94.94373025723617,xp50134010500_s2.pha,xp50134010500_b2.pha,113.73720967813023,19.777425866789,2431.99999999976,4917394.106062815
