full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360143_1,58196.8659954,2.720e+02,97.7,141.851042006398,0.391030,7.40427E+04,3.64758,1.27151,1344.70,8.619871794871795,,,,,0.049804720511118,74.28623649278812,43232,43232,4.158630910184506,
1130360144_0,58197.1237153,2.752e+02,95.6,663.187928000465,0.376158,8.89251E+04,3.64758,1.71217,4512.99,22.45268656716418,,,,,0.05477163130699125,28.06047623847908,207098,207098,11.539948141018685,
1130360144_1,58197.1881829,-2.029e+02,-27.8,114.700079992181,0.422048,3.48679E+04,3.64758,1.58143E-07,24638.33,122.57875621890548,,,,,-1.8589249257616223,1.8281599859575237,83745,83745,881.6189634034552,
1130360144_2,58197.3233449,2.783e+02,94.1,103.833911994472,0.368617,9.75184E+04,3.64758,1.94075,915.26,4.553532338308457,,,,,0.06441528284144496,20.42701116509319,33108,33108,16.412991333187765,
1130360144_3,58197.4494907,2.683e+02,97.0,325.601628002711,0.384458,7.88110E+04,3.64758,1.43132,2485.07,12.363532338308458,,,,,0.05021607030442175,45.2278070215721,98286,98286,6.825110499217919,
1130360144_4,58197.9012616,2.669e+02,99.1,250.685497001279,0.382760,8.05136E+04,3.64758,1.44408,2102.19,13.56251612903226,,,,,0.053511318609756116,205.67372835937556,73599,73599,1.434434108450811,
1130360144_5,58197.9656019,2.667e+02,99.5,85.901874003699,0.383251,7.94448E+04,3.64758,1.44116,677.96,5.021925925925927,,,,,0.05679491037254777,357.539616848814,25216,25216,0.8233144997489358,
1130360145_0,58198.0943056,2.678e+02,99.2,149.824200005969,0.383642,7.94887E+04,3.64758,1.42597,1131.28,7.11496855345912,,,,,0.0567857223976861,196.40091994020233,44175,44175,1.5089261558933598,
1130360145_1,58198.3514236,2.625e+02,95.2,250.654372998048,0.374677,8.86326E+04,3.64758,1.61815,1904.04,9.472835820895522,,,,,0.049789389009647,25.251659870026337,75021,75021,12.341447336985881,
1130360145_2,58198.4808102,2.585e+02,99.1,183.770000005141,0.384513,7.70204E+04,3.64758,1.31689,1480.37,9.67562091503268,,,,,0.05347902959027754,216.98894506320082,52379,52379,1.3196266092160727,
1130360145_3,58198.8014699,2.550e+02,98.7,161.811593998689,0.390728,7.01392E+04,3.64758,1.17120,1351.14,9.448531468531469,,,,,0.05127177030126869,144.80655745419662,45509,45509,1.95573030984264,
1130360145_4,58198.9301736,2.577e+02,99.2,170.801469001221,0.380284,8.15638E+04,3.64758,1.39856,1419.64,9.657414965986396,,,,,0.0544350447072836,230.0143668029833,47923,47923,1.2251511380985036,
1130360146_0,58199.0588426,2.542e+02,99.5,246.714961986174,0.383156,7.83049E+04,3.64758,1.27801,1812.82,11.620641025641024,,,,,0.053783810776803956,334.8109220727549,68593,68593,0.8328825579478326,
1130360146_1,58199.1875694,2.547e+02,98.5,237.707973992918,0.373568,8.91748E+04,3.64758,1.50201,1724.58,8.935647668393782,,,,,0.055009449551793925,82.811997892151,66274,66274,3.4078654098944825,
1130360146_10,58199.7664931,2.435e+02,98.4,69.921040001791,0.389824,6.88885E+04,3.64758,1.09414,618.13,4.867165354330709,,,,,0.04869496984512818,106.45316655575887,18856,18856,2.557302274316293,
1130360146_2,58199.2519213,2.535e+02,96.0,233.684333993588,0.373209,8.98313E+04,3.64758,1.48544,1562.80,7.775124378109452,,,,,0.053464869399179646,29.66721329638024,66519,66519,9.929574424923981,
1130360146_3,58199.3152315,2.524e+02,93.8,306.576953995274,0.368854,9.42297E+04,3.64758,1.60609,2087.31,10.384626865671642,,,,,0.054030201908688305,19.29189185685803,88196,88196,15.727176426393509,
1130360146_4,58199.373044,2.478e+02,99.4,122.881206597551,0.379338,8.13028E+04,3.64758,1.29580,976.00,6.9714285714285715,,,,,0.05412956569696675,280.2741523233119,33544,33544,0.9774592030606448,
1130360146_5,58199.3809491,2.485e+02,96.9,197.75269800704,0.378165,8.18351E+04,3.64758,1.38307,1487.39,7.627641025641026,,,,,0.04854123953805036,42.45496899085331,55126,55126,6.7244608384061575,
1130360146_6,58199.4387963,2.472e+02,98.6,149.851860007038,0.389197,6.96524E+04,3.64758,1.14957,1171.51,7.276459627329192,,,,,0.050188586709543334,98.01842223000085,40871,40871,2.8112464389345213,
1130360146_7,58199.4441782,2.460e+02,98.3,290.643524995772,0.381769,7.97560E+04,3.64758,1.18171,2118.17,11.638296703296703,,,,,0.04881035498660684,88.73252652889427,78699,78699,3.0863695491181566,
1130360146_8,58199.5096528,2.483e+02,99.0,190.771181992022,0.384877,7.51785E+04,3.64758,1.19740,1394.97,9.238211920529801,,,,,0.05333541399165124,193.67225649887723,51861,51861,1.410941256125363,
1130360146_9,58199.7609722,2.447e+02,97.6,242.76115529181,0.389308,7.05356E+04,3.64758,1.08373,2123.64,13.440759493670885,,,,,0.04618856914360206,77.21019320825195,66198,66198,3.5781011231315736,
1130360147_0,58200.0832292,2.101e+02,56.3,188.621433021734,0.371196,8.40288E+04,3.64758,1.69284,2020.95,10.054477611940298,,,,,-0.030273697834686385,3.5014681916835015,72863,72863,154.42621383670487,
1130360147_1,58200.1470833,1.879e+02,51.6,678.94871999044,0.393557,6.89896E+04,3.64758,0.487707,10037.24,49.93651741293532,,,,,-0.11118527698634086,3.2566401018392055,255270,255270,166.60978461170495,
1130360147_2,58200.8607407,2.272e+02,99.3,140.790050993557,0.375550,8.36995E+04,3.64758,1.08875,1015.51,7.202198581560284,,,,,0.048039471430725005,265.1277318773907,34517,34517,0.9282117768706396,
1130360149_0,58202.7236458,1.969e+02,95.3,153.840148001909,0.374928,7.80583E+04,3.64758,0.817072,1091.50,6.309248554913295,,,,,0.036032790752612794,32.21541606214816,33904,33904,7.060120644640401,
1130360152_0,58210.8006597,9.350e+01,99.6,412.815719403123,0.335740,9.01022E+04,3.64758,0.336065,1199.47,9.298217054263565,,,,,0.028371500479475936,389.2449096543499,38787,38787,0.24200491904200047,
1130360152_1,58210.9939699,9.198e+01,99.5,389.825552999682,0.336276,8.66840E+04,3.64758,0.344586,1191.63,9.096412213740459,,,,,0.030084374318884163,325.8687515141948,36175,36175,0.285647414018812,
1130360153_0,58211.0583102,9.194e+01,99.6,390.825731304445,0.335828,8.77546E+04,3.64758,0.340249,1299.26,9.994307692307693,,,,,0.029067256056940133,382.78530343634804,35970,35970,0.24106717698153038,
1130360155_0,58213.181713,6.938e+01,99.5,473.800208996166,0.320929,9.51500E+04,3.64758,0.246417,1108.69,8.528384615384615,,,,,0.025596003731851398,286.63816469601727,31540,31540,0.23305059018210447,
1130360155_1,58213.2465972,6.848e+01,99.5,455.808343200479,0.322831,9.21281E+04,3.64758,0.210682,1054.57,8.644016393442623,,,,,0.02296695609528105,275.45758811811874,29839,29839,0.23852107147885449,
1130360156_0,58214.0215046,6.233e+01,99.4,490.797658902593,0.314703,9.98258E+04,3.64758,0.218243,1027.18,7.841068702290077,,,,,0.024321206020020185,256.95983702215625,28828,28828,0.2294775507478268,
1130360156_1,58214.2143634,6.126e+01,99.4,248.897810397291,0.315083,9.83550E+04,3.64758,0.200958,559.07,5.036666666666667,,,,,0.023548047705994807,238.4001362540694,14266,14266,0.24143497290104116,
1130360156_3,58214.5350579,5.710e+01,99.4,818.665602304187,0.312817,9.74329E+04,3.64758,0.182469,1690.54,12.430441176470588,,,,,0.02202379454207287,233.72365212212145,43643,43643,0.22906963792988183,
1130360156_5,58214.5996065,5.712e+01,99.4,783.681539193727,0.312113,9.90234E+04,3.64758,0.184222,1633.03,12.007573529411765,,,,,0.02212507623640665,235.3108149774663,41605,41605,0.22657582777784102,
1130360156_6,58214.6634491,5.650e+01,99.3,841.65772699134,0.312728,9.72522E+04,3.64758,0.173242,1602.71,11.698613138686131,,,,,0.021412847761953846,207.9892149327501,44430,44430,0.2550310629397956,
1130360157_0,58215.2428472,5.230e+01,99.4,423.83078159485,0.306787,1.04134E+05,3.64758,0.163015,812.01,6.710826446280992,,,,,0.02124184245902288,221.30041483131654,19918,19918,0.21332311563547338,
1130360157_2,58215.5650694,5.007e+01,99.1,700.722404008033,0.306928,1.01001E+05,3.64758,0.140626,1181.11,9.016106870229008,,,,,0.01868884833422012,156.62582764209017,31593,31593,0.2897098025278281,
1130360157_3,58215.7538194,4.872e+01,99.2,116.034922426308,0.299213,1.14906E+05,3.64758,0.180520,299.57,3.291978021978022,,,,,0.02085841603085485,188.66312202872632,5016,5016,0.23035087933255255,
1130360157_4,58215.7551852,4.888e+01,99.0,972.614983913372,0.303237,1.06939E+05,3.64758,0.152587,1712.90,12.594852941176471,,,,,0.01777508595867751,143.66717444409235,42483,42483,0.3061612071211774,
1130360157_5,58215.8219907,4.801e+01,99.1,763.699289600481,0.304441,1.01391E+05,3.64758,0.152493,1364.99,10.419770992366413,,,,,0.01952619804839647,157.33841886429948,32906,32906,0.2756049359864556,
1130360158_0,58218.3289931,3.224e+01,96.3,117.957519999356,0.278975,1.27982E+05,3.27441,0.111742,250.03,2.4041346153846153,2.7879e-01,1.2882e+05,3.3213e+00,1.1990e-01,0.04380279869479601,37.11307728191572,3402,3402,0.7986273496002148,
1130360158_1,58218.7151042,3.046e+01,97.9,137.950802998908,0.275610,1.32128E+05,3.64758,0.127268,241.84,2.49319587628866,2.7564e-01,1.2630e+05,3.6421e+00,1.8016e-01,0.03509446905357826,65.54135532567075,3538,3538,0.39737040108713745,
1130360158_2,58218.843831,3.081e+01,96.5,345.875647599692,0.279708,1.28005E+05,3.64758,9.16088E-02,447.15,3.957079646017699,,,,,0.011185862060289927,36.441082649645736,8583,8583,0.7001839429508506,
1130360158_3,58218.9725579,2.935e+01,95.7,343.876331999432,0.271403,1.41693E+05,3.64758,0.155995,380.30,2.7164285714285716,2.7140e-01,1.4154e+05,3.6476e+00,1.8250e-01,0.029764835729776857,31.119684695666507,8600,8600,0.8303204693177851,
1130360160_0,58220.7744097,2.200e+01,98.2,450.841022497043,0.265927,1.33986E+05,3.64758,6.81081E-02,431.08,4.10552380952381,,,,,0.016942266616445482,64.26530358409869,7513,7513,0.2634052133825084,
1130360160_1,58220.9030787,2.122e+01,95.1,428.849378101761,0.256865,1.59804E+05,3.64758,0.111171,484.57,3.511376811594203,,,,,0.03045407222104241,26.06357954862804,7080,7080,0.6586965315205867,
1130360160_2,58220.9677083,2.156e+01,97.5,318.888031001552,0.257414,1.61733E+05,3.64758,8.86520E-02,295.29,2.6602702702702703,2.5741e-01,1.6181e+05,3.6476e+00,1.3145e-01,0.03136643119590624,46.606142756526374,5041,5041,0.3466212117329442,
1130360161_0,58224.6328588,1.055e+01,91.1,943.672054402996,0.235688,1.63327E+05,3.64758,3.88523E-02,422.02,2.6212422360248446,2.3570e-01,1.5384e+05,3.6476e+00,5.4988e-02,0.027338383597097688,12.286264918653119,6673,6673,0.6265414250961476,
1130360161_1,58224.7001736,1.040e+01,95.1,172.940505300125,0.242162,1.34984E+05,3.64758,2.79319E-02,156.21,2.44078125,2.4214e-01,1.3517e+05,3.6476e+00,4.1676e-02,0.011856331843564745,19.763628673270247,1102,1102,0.33960028117271707,
1130360161_2,58224.7022917,1.044e+01,93.3,501.824099204736,0.228879,2.16282E+05,3.64758,3.93006E-02,246.78,2.2232432432432434,2.2889e-01,2.0483e+05,3.6476e+00,5.6079e-02,0.02446281886317353,15.430083929572488,3315,3315,0.4577866904334582,
1130360161_3,58224.7653009,1.031e+01,92.1,617.785059600079,0.233119,1.73721E+05,3.64758,5.26594E-02,327.71,2.7309166666666664,2.3312e-01,1.6885e+05,3.6476e+00,4.9404e-02,0.014817045219259977,13.535063828966413,4125,4125,0.5326721635351651,
1130360162_1,58228.1789352,2.768e+00,32.4,259.915343998582,0.222730,1.23687E+05,3.64758,2.02749E-04,461.64,3.345217391304348,,,,,-0.34826949883383695,2.3648617983604083,1221,1221,3.441874787280039,
1130360162_2,58228.24375,8.368e+00,74.1,219.928169997293,0.204812,2.47928E+05,1.19365,6.05107E-03,296.46,1.674915254237288,2.0480e-01,2.9520e+05,1.1937e+00,7.1547e-03,0.6065540054198383,5.420660830492158,1683,1683,1.7310756998328212,
1130360162_3,58228.4923958,5.407e+00,51.2,216.928476798523,0.222660,1.20425E+05,1.19365,3.05535E-03,321.22,1.8460919540229888,2.2264e-01,1.4721e+05,1.1937e+00,3.0782e-03,0.34928217622920027,3.1490520629601555,1481,1481,3.176812295078015,
1130360162_4,58228.5567477,7.067e+00,69.3,236.921647796582,0.208462,2.06481E+05,1.19365,5.91945E-03,301.38,1.7123863636363637,2.0830e-01,2.6346e+05,1.1937e+00,5.4532e-03,0.5361410332963911,4.604051797111213,1666,1666,1.9510986506438084,
1130360162_5,58228.621331,4.180e+00,45.5,216.928628699679,0.217606,1.26064E+05,1.19365,2.62709E-03,337.77,2.0595731707317073,2.1755e-01,1.2654e+05,1.1937e+00,2.3908e-03,0.33946651104245934,2.955101762333823,1289,1289,3.0392517768025673,
1130360162_6,58228.6856829,2.314e+00,17.6,236.921102699329,0.206004,1.55871E+05,1.19365,2.80873E-03,877.07,4.407386934673367,,,,,0.6129961521869859,2.4665507731384184,2287,2287,6.5821127307053375,
1130360162_7,58228.7500347,1.569e+00,11.8,256.914033503621,0.210697,1.21075E+05,1.19378,2.45844E-03,1141.24,5.7062,,,,,0.7333307321667786,2.4222210839354026,2603,2603,7.123923185060089,
1130360162_8,58228.8143866,2.538e+00,22.6,119.959919998655,0.202707,1.72976E+05,1.19365,2.00817E-03,403.29,2.585192307692308,2.0263e-01,1.9319e+05,1.1937e+00,2.1180e-03,0.7447731646651214,2.4928175429002213,971,971,5.422209984667007,
1130360163_0,58229.3940394,4.628e+00,75.2,454.851760996826,0.204821,1.91773E+05,1.19365,2.63228E-03,263.32,1.5398830409356725,2.0480e-01,2.1954e+05,1.1937e+00,2.3837e-03,0.4064409935779363,4.905393537587323,1633,1633,0.9192878093704818,
1130360163_1,58229.5225347,4.084e+00,56.5,492.837309995142,0.202333,1.89088E+05,1.19365,2.51533E-03,321.53,1.6573711340206183,2.0230e-01,2.0787e+05,1.1937e+00,2.2842e-03,0.3920370973448412,3.318277235345973,2177,2177,1.9054145620920782,
1130360163_2,58229.5868634,3.504e+00,51.1,514.830101495318,0.213037,1.30311E+05,1.19366,1.49193E-03,343.84,1.8096842105263156,2.1298e-01,1.4172e+05,1.1955e+00,1.5938e-03,0.22778262313074024,3.059140586456288,2202,2202,2.0771477245058683,
