observation_ID,A,B,C,D,E,F
10258-01-02-00,1761.0,0.944171,1.31812e-05,2.27493,7.98857,3.74932
10408-01-42-00,3197.0,1.01387,0.000311723,2.42326,12.2701,4.45424
10408-01-45-00,1756.0,0.65993,7.43723e-12,2.43785,19.8685,7.12755
20186-03-02-05,2611.0,0.731863,3.17541e-11,2.56586,50.8018,7.22535
20402-01-01-00,2953.0,0.732321,2.88741e-12,2.599,99.2503,7.7694
20402-01-02-01,2249.0,0.67577,0.000130034,2.61414,999.523,8.81938
20402-01-04-00,2184.0,0.828082,671.119,2.60496,998.365,6.32076
20402-01-05-00,1409.0,0.662655,847.591,2.54416,999.442,7.62327
20402-01-07-00,1313.0,0.690745,1293.13,2.49231,998.726,6.25598
20402-01-08-00,1318.0,0.780938,1180.24,2.45754,1000.0,4.74116
20402-01-08-01,1233.0,0.794038,1207.32,2.4223,1000.0,4.24554
20402-01-09-00,1096.0,0.759222,1366.63,2.3928,987.683,4.14591
20402-01-10-00,986.2,0.796592,1135.94,2.3526,999.998,3.45917
20402-01-11-00,907.4,0.774532,1269.14,2.32163,1000.0,3.26042
20402-01-12-00,884.7,0.785516,1148.52,2.29503,999.818,2.94369
20402-01-13-00,936.5,0.615666,3711.42,2.32436,1000.0,4.01847
20402-01-14-00,908.5,0.856116,855.641,2.26867,1000.0,2.34172
20402-01-15-00,811.8,0.64849,2630.09,2.29405,1000.0,3.38478
20402-01-16-00,796.2,0.867623,722.355,2.22881,997.914,2.06385
20402-01-18-00,840.5,0.694183,1915.16,2.26099,1000.0,2.83053
20402-01-19-00,755.2,0.644939,2568.43,2.2531,1000.0,2.98813
20402-01-20-00,803.9,0.695834,1783.41,2.24039,1000.0,2.62427
20402-01-21-00,787.8,0.885634,637.35,2.18613,1000.0,1.75491
20402-01-21-01,795.1,0.76976,1188.42,2.21173,1000.0,2.14765
20402-01-24-00,947.0,0.764665,1211.45,2.21241,1000.0,2.16514
20402-01-27-01,1260.0,0.777342,1135.54,2.21484,1000.0,2.13388
