observation_ID,simpl_FracScat,net_source_count_rate,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,hardness_ratio
1130360229_1,0.0301571,36.68,0.2,493298.0,2.34931,0.283572,0.323594125335512
1130360229_2,0.0275574,36.52,0.200001,494562.0,2.2916,0.2635429999999999,0.3329940692332687
1130360230_0,0.0279881,38.62,0.2,563884.0,2.36636,0.2978179999999999,0.3140334099099176
1130360230_2,0.028364,40.01,0.2,617730.0,2.4206,0.32814,0.3041727911528608
1130360231_0,0.027149,39.8,0.2,586088.0,2.36283,0.304723,0.3143273520986243
1130360231_1,0.0277446,35.68,0.2,540815.0,2.33767,0.273307,0.3207063202896963
1130360231_2,0.0277386,36.69,0.2,536234.0,2.34055,0.277737,0.325706757000178
1130360231_3,0.0272501,35.47,0.2,521523.0,2.31986,0.263322,0.3249204019679934
1130360232_0,0.0244785,32.13,0.2,413577.0,2.18806,0.207867,0.3598785271485238
1130360232_2,0.025838,31.16,0.2,402552.0,2.21297,0.208704,0.3595152383844347
1130360248_0,0.0815756,6.4910000000000005,0.20048,18278.5,1.8657,0.0345033,0.4762204196265429
