ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
96371-02-01-01,MAXI1543-564,C,intermediate,1.742,14.5,23.9,28.0,"(0.009, 0.009)","(1.4, 1.5)","(1.2, 1.3)",154,11
96371-02-01-02,MAXI1543-564,C,intermediate,2.971,16.6,27.7,32.3,"(0.009, 0.009)","(1.1, 1.1)","(1.0, 1.0)",155,11
96371-02-02-00,MAXI1543-564,C,intermediate,4.376,12.4,21.2,24.6,"(0.023, 0.023)","(1.8, 2.2)","(1.6, 2.0)",156,11
96371-02-02-01,MAXI1543-564,C,intermediate,5.724,10.1,25.4,27.3,"(0.036, 0.036)","(1.3, 1.3)","(1.2, 1.2)",157,11
30188-06-01-00,XTE J1550-564,C,high,0.28800000000000003,15.6,36.4,39.6,"(0.001, 0.001)","(0.6, 0.6)","(0.6, 0.6)",158,3
30188-06-01-01,XTE J1550-564,C,high,0.395,15.6,31.5,35.1,"(0.002, 0.002)","(0.7, 0.8)","(0.7, 0.7)",159,3
30188-06-01-02,XTE J1550-564,C,high,0.809,16.5,27.2,31.8,"(0.002, 0.002)","(1.3, 1.2)","(1.1, 1.1)",160,3
30188-06-01-03,XTE J1550-564,C,high,1.034,16.8,28.5,33.5,"(0.003, 0.003)","(0.4, 0.4)","(0.4, 0.4)",161,3
30188-06-03-00,XTE J1550-564,C,high,0.122,15.2,39.7,42.5,"(0.001, 0.001)","(0.8, 0.8)","(0.8, 0.8)",162,3
30188-06-04-00,XTE J1550-564,C,high,1.5330000000000001,15.1,27.8,31.7,"(0.004, 0.004)","(0.9, 0.9)","(0.8, 0.8)",163,3
30188-06-05-00,XTE J1550-564,C,high,2.381,15.1,22.4,27.4,"(0.005, 0.005)","(0.6, 0.6)","(0.5, 0.5)",164,3
30188-06-06-00,XTE J1550-564,C,high,3.2969999999999997,14.9,18.0,23.5,"(0.006, 0.006)","(0.9, 1.0)","(0.8, 0.8)",165,3
30188-06-07-00,XTE J1550-564,C,high,3.182,14.8,18.2,23.9,"(0.004, 0.004)","(0.7, 0.7)","(0.5, 0.6)",166,3
30188-06-08-00,XTE J1550-564,C,high,3.161,15.2,18.5,24.0,"(0.004, 0.004)","(0.6, 0.6)","(0.5, 0.5)",167,3
30188-06-09-00,XTE J1550-564,C,high,3.634,14.4,14.8,23.2,"(0.005, 0.005)","(1.1, 1.0)","(0.8, 0.7)",168,3
30188-06-10-00,XTE J1550-564,C,high,2.563,15.0,20.8,26.1,"(0.006, 0.006)","(0.9, 0.8)","(0.8, 0.7)",169,3
30188-06-11-00,XTE J1550-564,C,high,3.977,13.9,16.6,22.0,"(0.007, 0.007)","(0.6, 0.7)","(0.6, 0.7)",170,3
30191-01-01-00,XTE J1550-564,C,high,5.712999999999999,11.6,12.8,18.7,"(0.01, 0.01)","(0.5, 0.5)","(0.4, 0.4)",171,3
30191-01-02-00,XTE J1550-564,C,high,13.081,1.1,2.3,7.2,"(0.085, 0.085)","(0.1, 0.1)","(0.0, 0.0)",172,3
30191-01-18-01,XTE J1550-564,C,high,3.3310000000000004,17.0,17.1,24.6,"(0.009, 0.009)","(0.8, 0.8)","(0.9, 0.9)",173,3
30191-01-27-00,XTE J1550-564,C,high,5.544,14.6,14.6,20.6,"(0.025, 0.027)","(0.4, 0.4)","(0.4, 0.4)",174,3
30191-01-27-01,XTE J1550-564,C,high,4.481,13.8,18.6,23.9,"(0.009, 0.009)","(0.9, 1.1)","(0.8, 0.9)",175,3
30191-01-28-00,XTE J1550-564,C,high,4.191,14.8,19.8,25.7,"(0.01, 0.01)","(1.6, 1.7)","(1.3, 1.4)",176,3
